table,G_order,q,α_position,α_label,α_degree,α_faithful,α_conductor,α_char_field_degree,χ_odd_degree,χ_two_rational,χ_conductor,χ_char_field_degree,χ_max_value_degree,G_solvable,run_started_at_utc,julia_version,oscar_version,fs2_git_revision,gap_version,ctbllib_version,scan_id,scan_total,scan_index,logged_at_utc
(2^(1+8)x2^6):S6(2),47563407360,2,34,,405,false,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,22,2026-08-10T07:00:18.72Z
(2^6x2^8):S6(2),23781703680,2,34,,405,false,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,52,2026-08-10T07:00:36.197Z
(2x2^(1+8)_+).O8+(2),178362777600,2,64,,2835,false,15,2,true,false,60,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,62,2026-08-10T07:00:38.453Z
(2x2^(1+8)_+).O8+(2),178362777600,2,83,,6075,false,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,62,2026-08-10T07:00:38.858Z
2.(2^4:A5),1920,2,8,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,301,2026-08-10T07:01:40.272Z
2.B,8309562962452852382355161088000000,2,35,\chi_{35},4097337118875,false,15,2,true,false,60,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,407,2026-08-10T07:02:02.254Z
2.B,8309562962452852382355161088000000,2,169,\chi_{169},9573585768140625,false,17,2,true,false,68,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,407,2026-08-10T07:02:02.622Z
2.F4(2)M1,95126814720,2,34,,405,false,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,426,2026-08-10T07:02:05.845Z
2.SuzM4,6635520,2,33,,81,false,5,2,true,false,20,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,534,2026-08-10T07:02:26.475Z
2.SuzM4,6635520,2,37,,135,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,534,2026-08-10T07:02:26.479Z
2^(1+22).Co2,354883595661213696000,2,22,,91125,false,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,596,2026-08-10T07:02:43.122Z
2^(1+6)_+:3A7,967680,2,54,,21,false,15,4,true,false,60,8,4,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,608,2026-08-10T07:02:44.851Z
2^(1+6)_-.2^4.A5,122880,2,7,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,611,2026-08-10T07:02:45.737Z
2^(1+6)_-.2^4.A5,122880,2,19,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,611,2026-08-10T07:02:45.744Z
2^(1+8)+.O8+(2),89181388800,2,64,,2835,false,15,2,true,false,60,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,615,2026-08-10T07:02:46.117Z
2^(1+8)+.O8+(2),89181388800,2,83,,6075,false,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,615,2026-08-10T07:02:46.128Z
2^(1+8)+:L2(8),258048,2,11,,9,false,7,6,true,false,28,12,6,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,616,2026-08-10T07:02:46.181Z
