table,G_order,q,α_position,α_label,α_degree,α_faithful,α_conductor,α_char_field_degree,χ_odd_degree,χ_two_rational,χ_conductor,χ_char_field_degree,χ_max_value_degree,G_solvable,run_started_at_utc,julia_version,oscar_version,fs2_git_revision,gap_version,ctbllib_version,scan_id,scan_total,scan_index,logged_at_utc
2^(1+8)_+.(2xA5),61440,2,13,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,626,2026-08-10T07:02:48.53Z
2^(1+8)_+.(2xA5),61440,2,15,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,626,2026-08-10T07:02:48.533Z
2^(1+8)_+:L2(8):3,774144,2,15,,27,false,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,635,2026-08-10T07:02:50.489Z
2^(10+16).O10+(2),1577011055923770163200,2,57,,355725,false,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,637,2026-08-10T07:02:51.417Z
2^(10+16).O10+(2),1577011055923770163200,2,133,,1494045,false,15,2,true,false,60,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,637,2026-08-10T07:02:51.585Z
2^(9+16).S8(2),1589728887019929600,2,91,,48195,false,15,2,true,false,60,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,689,2026-08-10T07:03:16.301Z
2^1+4b:a5,1920,2,7,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,693,2026-08-10T07:03:20.478Z
2^1+6.u4q2,3317760,2,33,,81,false,5,2,true,false,20,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,695,2026-08-10T07:03:20.567Z
2^1+6.u4q2,3317760,2,37,,135,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,695,2026-08-10T07:03:20.57Z
2^1+8.2.A9,185794560,2,43,,405,false,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,696,2026-08-10T07:03:20.621Z
2^1+8.a9,92897280,2,43,,405,false,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,697,2026-08-10T07:03:20.648Z
2^1+8:s6f2,743178240,2,99,,405,false,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,698,2026-08-10T07:03:20.753Z
2^6.U4(2),1658880,2,24,,81,true,5,2,true,false,20,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,825,2026-08-10T07:04:02.134Z
2^6.U4(2),1658880,2,29,,135,true,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,825,2026-08-10T07:04:02.137Z
2^6:3A7,483840,2,24,,21,true,15,4,true,false,60,8,4,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,832,2026-08-10T07:04:02.522Z
2^8.A9,46448640,2,40,,405,true,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,848,2026-08-10T07:04:04.943Z
2^8:O8+(2),44590694400,2,89,,2835,true,15,2,true,false,60,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,849,2026-08-10T07:04:05.15Z
2^8:O8+(2),44590694400,2,93,,6075,true,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,849,2026-08-10T07:04:05.156Z
2^8:O8-(2),50536120320,2,16,,1071,false,5,2,true,false,20,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,851,2026-08-10T07:04:05.489Z
2^8:O8-(2),50536120320,2,55,,5355,true,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,851,2026-08-10T07:04:05.507Z
2^8:O8-(2),50536120320,2,61,,9639,true,5,2,true,false,20,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,851,2026-08-10T07:04:05.513Z
2^8:S6(2),371589120,2,48,,405,true,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,853,2026-08-10T07:04:05.839Z
2^9.2^4.A5a,491520,2,11,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,856,2026-08-10T07:04:07.173Z
2^{1+4}_-:2A5,3840,2,7,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,860,2026-08-10T07:04:14.592Z
2xCo2,84610842624000,2,43,,91125,false,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,942,2026-08-10T07:04:52.523Z
2xCo2,84610842624000,2,44,,91125,true,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,942,2026-08-10T07:04:52.527Z
3.Fi22M5,1362493440,2,66,,231,true,15,4,true,false,60,8,4,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,1018,2026-08-10T07:05:17.479Z
3x2.SuzM4,19906560,2,33,,81,false,5,2,true,false,20,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,1277,2026-08-10T07:06:40.828Z
3x2.SuzM4,19906560,2,37,,135,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,1277,2026-08-10T07:06:40.837Z
3x2.SuzM4,19906560,2,135,,81,false,15,4,true,false,60,8,4,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,1277,2026-08-10T07:06:40.897Z
3x2^(1+4)_-:A5,5760,2,7,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,1287,2026-08-10T07:06:45.883Z
3x2^(1+6)_-.2^4.A5,368640,2,19,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,1288,2026-08-10T07:06:46.333Z
3x2^(1+6)_-.2^4.A5,368640,2,55,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,1288,2026-08-10T07:06:46.37Z
3x2^(1+6)_-.U4(2),9953280,2,33,,81,false,5,2,true,false,20,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,1289,2026-08-10T07:06:46.616Z
3x2^(1+6)_-.U4(2),9953280,2,37,,135,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,1289,2026-08-10T07:06:46.622Z
3x2^(1+6)_-.U4(2),9953280,2,90,,81,false,15,4,true,false,60,8,4,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,1289,2026-08-10T07:06:48.593Z
6.Fi22M5,2724986880,2,92,,231,false,15,4,true,false,60,8,4,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,1527,2026-08-10T07:07:58.142Z
B,4154781481226426191177580544000000,2,35,\chi_{35},4097337118875,true,15,2,true,false,60,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,1665,2026-08-10T07:08:43.645Z
B,4154781481226426191177580544000000,2,169,\chi_{169},9573585768140625,true,17,2,true,false,68,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,1665,2026-08-10T07:08:43.716Z
Co2,42305421312000,2,22,\chi_{22},91125,true,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,1675,2026-08-10T07:08:47.304Z
O10+(2),23499295948800,2,57,\chi_{57},355725,true,7,2,true,false,28,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,2050,2026-08-10T07:11:38.078Z
O12-(2),51615733565620224000,2,147,,314188875,true,17,4,true,false,68,8,4,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,2059,2026-08-10T07:11:44.156Z
O8-(2),197406720,2,16,\chi_{16},1071,true,5,2,true,false,20,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,2088,2026-08-10T07:12:03.672Z
P1/G1/L1/V1/ext2,960,2,7,,5,true,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,2100,2026-08-10T07:12:06.003Z
P1/G1/L1/V1/ext4,15360,2,11,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,2102,2026-08-10T07:12:06.236Z
P1/G1/L1/V1/ext6,77760,2,15,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,2104,2026-08-10T07:12:06.618Z
P1/G1/L1/V2/ext6,77760,2,14,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,2106,2026-08-10T07:12:06.954Z
P2/G1/L1/V1/ext2,30720,2,11,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,2139,2026-08-10T07:12:15.804Z
P2/G1/L1/V1/ext2,30720,2,18,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,2139,2026-08-10T07:12:15.809Z
P2/G1/L1/V1/ext2,30720,2,25,,5,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,2139,2026-08-10T07:12:16.721Z
P41/G2/L1/V1/ext2,129024,2,11,,9,true,7,6,true,false,28,12,6,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,2167,2026-08-10T07:12:23.303Z
P43/G1/L1/V1/ext2,675840,2,38,,55,true,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,2169,2026-08-10T07:12:23.685Z
P50/G1/L1/V1/ext2,1658880,2,22,,81,true,5,2,true,false,20,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,2177,2026-08-10T07:12:25.352Z
P50/G1/L1/V1/ext2,1658880,2,27,,135,true,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,2177,2026-08-10T07:12:25.356Z
P50/G1/L1/V1/ext4,106168320,2,34,,81,false,5,2,true,false,20,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,2179,2026-08-10T07:12:26.434Z
P50/G1/L1/V1/ext4,106168320,2,39,,135,false,3,2,true,false,12,4,2,false,2026-08-10T06:59:57.615Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q2-findall,2397,2179,2026-08-10T07:12:28.627Z
