table,G_order,q,α_position,α_label,α_degree,α_faithful,α_conductor,α_char_field_degree,χ_odd_degree,χ_two_rational,χ_conductor,χ_char_field_degree,χ_max_value_degree,G_solvable,run_started_at_utc,julia_version,oscar_version,fs2_git_revision,gap_version,ctbllib_version,scan_id,scan_total,scan_index,logged_at_utc
(2^(1+8)x2^6):S6(2),47563407360,4,34,,405,false,7,2,true,false,112,16,8,false,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,22,2026-08-10T07:04:59.578Z
(2^6x2^8):S6(2),23781703680,4,34,,405,false,7,2,true,false,112,16,8,false,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,52,2026-08-10T07:08:10.038Z
(2x2^(1+8)_+).O8+(2),178362777600,4,64,,2835,false,15,2,true,false,240,16,8,false,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,62,2026-08-10T07:08:25.714Z
(2x2^(1+8)_+).O8+(2),178362777600,4,83,,6075,false,7,2,true,false,112,16,8,false,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,62,2026-08-10T07:08:25.862Z
2.(2^4:A5),1920,4,8,,5,false,3,2,true,false,48,16,8,false,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,301,2026-08-10T07:13:41.151Z
2.B,8309562962452852382355161088000000,4,35,\chi_{35},4097337118875,false,15,2,true,false,240,16,8,false,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,407,2026-08-10T07:16:01.296Z
2.B,8309562962452852382355161088000000,4,169,\chi_{169},9573585768140625,false,17,2,true,false,272,16,8,false,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,407,2026-08-10T07:16:02.423Z
2.F4(2)M1,95126814720,4,34,,405,false,7,2,true,false,112,16,8,false,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,426,2026-08-10T07:16:20.392Z
2.SuzM4,6635520,4,33,,81,false,5,2,true,false,80,16,8,false,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,534,2026-08-10T07:21:09.122Z
2.SuzM4,6635520,4,37,,135,false,3,2,true,false,48,16,8,false,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,534,2026-08-10T07:21:09.145Z
