table,G_order,G_solvable,false_characters,findall,run_started_at_utc,julia_version,oscar_version,fs2_git_revision,gap_version,ctbllib_version,scan_id,scan_total,scan_index,logged_at_utc
(11:5xD12).2,1320,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,1,2026-08-10T07:04:21.711Z
(11:5xM12):2,10454400,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,2,2026-08-10T07:04:25.397Z
(13:6xA4).2,1872,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,3,2026-08-10T07:04:28.928Z
(13:6xL3(3)).2,876096,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,4,2026-08-10T07:04:31.292Z
(2.A4x2.G2(4)).2,24153292800,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,5,2026-08-10T07:04:37.581Z
(2.A4x3).2,144,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,6,2026-08-10T07:04:37.648Z
(2.A5x2.J2).2,290304000,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,7,2026-08-10T07:04:44.908Z
(2.A5x3).2,720,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,8,2026-08-10T07:04:45.023Z
(2.A5xA5):2,14400,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,9,2026-08-10T07:04:45.157Z
(2.A5xD10).2,2400,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,10,2026-08-10T07:04:45.301Z
(2.A6x3).2_1,4320,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,11,2026-08-10T07:04:45.446Z
(2.A6xU3(3)).2,8709120,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,12,2026-08-10T07:04:48.746Z
(2.A7x3).2,30240,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,13,2026-08-10T07:04:48.9Z
(2.A7xL2(7)).2,1693440,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,14,2026-08-10T07:04:49.582Z
(2.A8x3).2,241920,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,15,2026-08-10T07:04:50.321Z
(2.A9x3).2,2177280,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,16,2026-08-10T07:04:50.54Z
(2.D10x3.A6).2_3,43200,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,17,2026-08-10T07:04:53.656Z
(2.D10xA6).2,14400,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,18,2026-08-10T07:04:54.336Z
"(2^(1+4)x3).GO+(4,2)",6912,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,19,2026-08-10T07:04:54.708Z
(2^(1+8).2^3)a.L3(2),688128,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,20,2026-08-10T07:04:54.94Z
(2^(1+8).2^3)b.L3(2),688128,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,21,2026-08-10T07:04:55.752Z
(2^(1+8)x2^6):S6(2),47563407360,false,1,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,22,2026-08-10T07:05:01.031Z
(2^2x11:5).2,440,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,23,2026-08-10T07:05:01.482Z
(2^2x13:4):3,624,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,24,2026-08-10T07:05:01.569Z
(2^2x2^(1+8)).(3xU4(2)).2,318504960,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,25,2026-08-10T07:05:03.595Z
(2^2x3).(3^(1+4).[2^7.3]),1119744,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,26,2026-08-10T07:05:17.694Z
(2^2x3).2,24,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,27,2026-08-10T07:05:17.765Z
(2^2x3).2E6(2),918389756205298247270400,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,28,2026-08-10T07:06:37.821Z
(2^2x3).2E6(2).2,1836779512410596494540800,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,29,2026-08-10T07:07:04.21Z
(2^2x3).L3(4),241920,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,30,2026-08-10T07:07:05.002Z
(2^2x3).L3(4).2_1,483840,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,31,2026-08-10T07:07:05.757Z
(2^2x3).L3(4).2_2,483840,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,32,2026-08-10T07:07:05.966Z
(2^2x3).L3(4).2_3,483840,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,33,2026-08-10T07:07:08.245Z
(2^2x3).L3(4).3,725760,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,34,2026-08-10T07:07:10.137Z
(2^2x3).U6(2),110361968640,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,35,2026-08-10T07:07:22.961Z
(2^2x3).U6(2).2,220723937280,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,36,2026-08-10T07:07:28.657Z
(2^2x3).U6(2).3,331085905920,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,37,2026-08-10T07:07:48.859Z
(2^2x3).U6(2)M3,123863040,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,38,2026-08-10T07:07:57.244Z
(2^2x3^4).2^3.S4,62208,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,39,2026-08-10T07:07:57.563Z
(2^2x4).2^5.S3,3072,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,40,2026-08-10T07:07:57.973Z
(2^2xA5):2,480,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,41,2026-08-10T07:07:58.081Z
(2^2xD14):3,168,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,42,2026-08-10T07:07:58.143Z
(2^2xF4(2)):2,26489012826931200,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,43,2026-08-10T07:08:03.437Z
(2^2xSz(8)):3,349440,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,44,2026-08-10T07:08:03.579Z
(2^2xU4(2)):2,207360,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,45,2026-08-10T07:08:03.919Z
(2^4:A4xA4).2,4608,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,46,2026-08-10T07:08:06.265Z
(2^4:S5x3).2,11520,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,47,2026-08-10T07:08:06.403Z
(2^5.2^6)a.(S3xL3(2)),2064384,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,48,2026-08-10T07:08:06.848Z
(2^5.2^6)b.(L3(2)xS3),2064384,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,49,2026-08-10T07:08:07.029Z
(2^5.2^6.2^2)a.S3^2,294912,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,50,2026-08-10T07:08:07.248Z
(2^5.2^6.2^2)b.S3^2,294912,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,51,2026-08-10T07:08:07.46Z
(2^6x2^8):S6(2),23781703680,false,1,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,52,2026-08-10T07:08:11.186Z
(2x12).L3(4),483840,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,53,2026-08-10T07:08:14.532Z
(2x13).6,156,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,54,2026-08-10T07:08:14.575Z
(2x17).8,272,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,55,2026-08-10T07:08:14.615Z
(2x2.(A5xA5)):2^2,57600,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,56,2026-08-10T07:08:14.863Z
(2x29).14,812,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,57,2026-08-10T07:08:15.017Z
(2x2^(1+6)_+).A8,5160960,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,58,2026-08-10T07:08:16.055Z
(2x2^(1+8)):(U4(2):2x2),106168320,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,59,2026-08-10T07:08:18.631Z
(2x2^(1+8)):U4(2):2,53084160,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,60,2026-08-10T07:08:19.846Z
(2x2^(1+8)_+).2.2^4.(S3xS3),1179648,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,61,2026-08-10T07:08:22.046Z
(2x2^(1+8)_+).O8+(2),178362777600,false,2,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,62,2026-08-10T07:08:25.906Z
(2x3.A6).2,4320,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,63,2026-08-10T07:08:26.023Z
(2x3^(1+2)_+:8):2,864,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,64,2026-08-10T07:08:26.108Z
(2x3^3).S4,1296,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,65,2026-08-10T07:08:26.154Z
(2x3^3).S4`,1296,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,66,2026-08-10T07:08:27.578Z
(2x3^4:2^3).S4,31104,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,67,2026-08-10T07:08:27.73Z
(2x3^5).U4(2).2,25194240,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,68,2026-08-10T07:08:28.117Z
(2x4).L3(4),161280,false,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,69,2026-08-10T07:08:28.326Z
(2x4^2).2^4.S3,3072,true,0,true,2026-08-10T07:04:13.747Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q4-findall,2397,70,2026-08-10T07:08:28.756Z
