table,G_order,G_solvable,false_characters,findall,run_started_at_utc,julia_version,oscar_version,fs2_git_revision,gap_version,scan_id,scan_total,scan_index,group_id,logged_at_utc
"(1,1)",1,true,0,true,2026-08-24T10:02:03.008Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q1-findall,34886,1,"(1, 1)",2026-08-24T10:02:08.935Z
"(6,1)",6,true,0,true,2026-08-24T10:02:03.008Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q1-findall,34886,2,"(6, 1)",2026-08-24T10:02:09.388Z
"(6,2)",6,true,0,true,2026-08-24T10:02:03.008Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q1-findall,34886,3,"(6, 2)",2026-08-24T10:02:12.568Z
"(10,1)",10,true,0,true,2026-08-24T10:02:03.008Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q1-findall,34886,4,"(10, 1)",2026-08-24T10:02:12.623Z
"(10,2)",10,true,0,true,2026-08-24T10:02:03.008Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q1-findall,34886,5,"(10, 2)",2026-08-24T10:02:12.629Z
"(12,1)",12,true,0,true,2026-08-24T10:02:03.008Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q1-findall,34886,6,"(12, 1)",2026-08-24T10:02:12.634Z
"(12,2)",12,true,0,true,2026-08-24T10:02:03.008Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q1-findall,34886,7,"(12, 2)",2026-08-24T10:02:12.64Z
"(12,3)",12,true,0,true,2026-08-24T10:02:03.008Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q1-findall,34886,8,"(12, 3)",2026-08-24T10:02:12.644Z
"(12,4)",12,true,0,true,2026-08-24T10:02:03.008Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q1-findall,34886,9,"(12, 4)",2026-08-24T10:02:12.648Z
"(12,5)",12,true,0,true,2026-08-24T10:02:03.008Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q1-findall,34886,10,"(12, 5)",2026-08-24T10:02:12.652Z
"(14,1)",14,true,0,true,2026-08-24T10:02:03.008Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q1-findall,34886,11,"(14, 1)",2026-08-24T10:02:12.656Z
