table,G_order,G_solvable,false_characters,findall,run_started_at_utc,julia_version,oscar_version,fs2_git_revision,gap_version,scan_id,scan_total,scan_index,group_id,logged_at_utc
"(1,1)",1,true,0,true,2026-08-24T10:05:04.033Z,1.12.6,1.8.1,,4.16.1,smallgroups-1-189-fs2-q3-findall,1692,1,"(1, 1)",2026-08-24T10:05:10.312Z
"(6,1)",6,true,0,true,2026-08-24T10:05:04.033Z,1.12.6,1.8.1,,4.16.1,smallgroups-1-189-fs2-q3-findall,1692,2,"(6, 1)",2026-08-24T10:05:11.054Z
"(6,2)",6,true,0,true,2026-08-24T10:05:04.033Z,1.12.6,1.8.1,,4.16.1,smallgroups-1-189-fs2-q3-findall,1692,3,"(6, 2)",2026-08-24T10:05:14.203Z
"(10,1)",10,true,0,true,2026-08-24T10:05:04.033Z,1.12.6,1.8.1,,4.16.1,smallgroups-1-189-fs2-q3-findall,1692,4,"(10, 1)",2026-08-24T10:05:14.265Z
"(10,2)",10,true,0,true,2026-08-24T10:05:04.033Z,1.12.6,1.8.1,,4.16.1,smallgroups-1-189-fs2-q3-findall,1692,5,"(10, 2)",2026-08-24T10:05:14.282Z
"(12,1)",12,true,0,true,2026-08-24T10:05:04.033Z,1.12.6,1.8.1,,4.16.1,smallgroups-1-189-fs2-q3-findall,1692,6,"(12, 1)",2026-08-24T10:05:14.294Z
"(12,2)",12,true,0,true,2026-08-24T10:05:04.033Z,1.12.6,1.8.1,,4.16.1,smallgroups-1-189-fs2-q3-findall,1692,7,"(12, 2)",2026-08-24T10:05:14.312Z
"(12,3)",12,true,0,true,2026-08-24T10:05:04.033Z,1.12.6,1.8.1,,4.16.1,smallgroups-1-189-fs2-q3-findall,1692,8,"(12, 3)",2026-08-24T10:05:14.32Z
"(12,4)",12,true,0,true,2026-08-24T10:05:04.033Z,1.12.6,1.8.1,,4.16.1,smallgroups-1-189-fs2-q3-findall,1692,9,"(12, 4)",2026-08-24T10:05:14.331Z
"(12,5)",12,true,0,true,2026-08-24T10:05:04.033Z,1.12.6,1.8.1,,4.16.1,smallgroups-1-189-fs2-q3-findall,1692,10,"(12, 5)",2026-08-24T10:05:14.349Z
